lsproductCode,productName,productCategory,quantityInStock,buyPrice,MSRP
P_153,Up-sized zero tolerance customer loyalty,Home Goods,3447,504.48,1177.61
P_154,Intuitive incremental solution,Books,1622,449.29,549.95
P_155,Pre-emptive optimizing parallelism,Books,1695,366.69,483.24
P_156,Up-sized value-added matrix,Home Goods,6643,69.2,92.87
P_157,Operative bi-directional complexity,Tools,4928,578.43,718.37
P_158,Down-sized tangible projection,Home Goods,976,440.33,1034.71
P_159,Digitized zero administration capacity,Services,6213,196.18,296.84
P_160,Integrated coherent function,Books,5368,300.64,384.61
P_161,Balanced impactful artificial intelligence,Home Goods,1648,138.26,207.95
P_162,Open-source executive protocol,Apparel,453,498.18,613.93
P_163,Progressive radical array,Tools,2349,194.01,369.08
P_164,Fundamental secondary frame,Electronics,1745,94.58,185.71
P_165,Implemented bi-directional middleware,Electronics,2997,348.54,602.28
P_166,Pre-emptive web-enabled analyzer,Tools,3902,93.67,218.8
P_167,Enhanced tertiary frame,Services,4622,369.9,809.63
P_168,Organic homogeneous approach,Books,2992,86.06,121.43
P_169,Fully-configurable didactic paradigm,Apparel,6129,436.15,754.1
P_170,Cross-platform user-facing concept,Electronics,3465,113.41,232.31
P_171,Assimilated human-resource service-desk,Electronics,6371,276.36,346.36
P_172,Function-based even-keeled firmware,Services,5450,569.59,1028.69
P_173,Advanced tertiary artificial intelligence,Tools,2121,20.21,44.81
P_174,Function-based dynamic software,Electronics,3549,43.5,99.48
P_175,Profound next generation functionalities,Tools,2194,8.64,12.52
P_176,Cross-group motivating productivity,Electronics,1497,619.57,1093.34
P_177,Proactive client-server core,Electronics,3492,385.37,828.48
P_178,Profound coherent pricing structure,Apparel,4036,451.79,684.85
P_179,Diverse object-oriented artificial intelligence,Electronics,2439,566.33,1413.54
P_180,Programmable even-keeled workforce,Books,516,250.64,409.16
P_181,Synergistic coherent projection,Electronics,6431,87.05,179.4
P_182,Managed well-modulated project,Home Goods,6570,444.45,591.07
P_183,Seamless human-resource flexibility,Tools,5598,623.47,996.15
P_184,Ameliorated encompassing conglomeration,Apparel,3020,225.77,354.26
P_185,Fundamental methodical challenge,Home Goods,5754,57.53,75.49
P_186,Phased tangible pricing structure,Books,2891,90.23,193.93
P_187,Extended attitude-oriented Graphical User Interface,Home Goods,5266,675.49,1522.62
P_188,Decentralized grid-enabled forecast,Apparel,1695,120.32,223.7
P_189,User-friendly interactive productivity,Home Goods,6427,375.34,890.33
P_190,Managed dedicated parallelism,Tools,6088,32.75,55.44
P_191,Programmable non-volatile intranet,Books,4893,282.89,414.07
P_192,Switchable transitional contingency,Books,5921,451.35,774.72
P_193,Configurable secondary open system,Books,6372,614.29,1096.84
P_194,Open-source grid-enabled complexity,Electronics,801,348.9,661.47
P_195,Up-sized heuristic utilization,Home Goods,6339,243.31,387.13
P_196,Face-to-face incremental secured line,Books,3182,513.77,1160.36
P_197,Mandatory contextually-based ability,Tools,3094,627.6,1452.6
P_198,Decentralized bi-directional standardization,Apparel,6286,64.82,84.7
P_199,Managed needs-based parallelism,Services,4735,520.32,835.1
